,CVE_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA
6993,F36409,2021-10-14 00:00:00,2021-10-14,
6994,F36410,2021-10-14 00:00:00,2021-11-13,
6995,F36411,2021-09-02 00:00:00,2021-10-14,
6996,F36412,2021-10-15 00:00:00,2021-11-28,
6997,F36413,2021-10-14 00:00:00,2021-10-14,
6998,F36414,2021-10-14 00:00:00,2021-11-13,
6999,F36415,2021-10-14 00:00:00,2021-10-14,
7000,F36416,2021-10-19 00:00:00,2021-11-14,
7001,F36417,2021-10-06 00:00:00,2021-11-14,
7002,F36418,2021-10-14 00:00:00,2021-10-15,
7003,F36419,2021-10-15 00:00:00,2021-10-15,
7004,F36420,2021-10-15 00:00:00,2021-12-14,
7005,F36421,2021-10-08 00:00:00,2022-01-13,
7006,F36422,2021-10-15 00:00:00,2021-10-15,
7007,F36423,2021-10-15 00:00:00,2021-10-15,
7008,F36424,2021-10-15 00:00:00,2021-10-15,
7009,F36425,2021-10-15 00:00:00,2021-10-15,
7010,F36426,2021-10-15 00:00:00,2021-10-15,
7011,F36427,2021-10-15 00:00:00,2021-10-15,
7012,F36428,2021-10-15 00:00:00,2021-10-15,
7013,F36429,2021-10-15 00:00:00,2021-10-15,
7014,F36430,2021-10-15 00:00:00,2021-10-15,
7015,F36431,2021-10-15 00:00:00,2021-10-15,
7016,F36432,2021-10-18 00:00:00,2021-10-15,
7017,F36433,2021-10-15 00:00:00,2021-10-15,
7018,F36434,2021-10-15 00:00:00,2021-11-14,
7019,F36435,2021-10-19 00:00:00,2021-10-15,
7020,F36436,2021-09-29 00:00:00,2021-11-14,
7021,F36437,2021-10-15 00:00:00,2021-11-29,
7022,F36438,2021-10-12 00:00:00,2021-10-15,
7023,F36439,2021-10-18 00:00:00,2021-10-18,
7024,F36440,2021-10-18 00:00:00,2021-10-18,
7025,F36441,2021-10-13 00:00:00,2021-10-18,
7026,F36442,2021-10-18 00:00:00,2021-10-18,
7027,F36443,2021-10-18 00:00:00,2021-10-18,
7028,F36444,2021-10-19 00:00:00,2021-10-19,
7029,F36445,2021-10-18 00:00:00,2021-10-19,
7030,F36446,2021-10-19 00:00:00,2021-10-19,
7031,F36447,2021-10-19 00:00:00,2021-10-19,
7032,F36448,2021-10-19 00:00:00,2021-10-19,
7033,F36449,2021-10-19 00:00:00,2021-10-19,
7034,F36450,2021-10-19 00:00:00,2021-10-19,
7035,F36451,2021-10-19 00:00:00,2021-10-19,
7036,F36452,2021-10-19 00:00:00,2021-11-03,
7037,F36453,2021-10-19 00:00:00,2021-10-19,
7038,F36454,2021-10-19 00:00:00,2021-10-19,
7039,F36455,2021-10-20 00:00:00,2021-11-19,
7040,F36456,2021-10-22 00:00:00,2021-11-19,
7041,F36457,2021-10-18 00:00:00,2021-11-04,
7042,F36458,2021-10-13 00:00:00,2021-10-20,
7043,F36459,2021-10-20 00:00:00,2021-10-20,
7044,F36460,2021-10-20 00:00:00,2021-10-20,
7045,F36461,2021-10-25 00:00:00,2021-11-04,
7046,F36462,2021-10-20 00:00:00,2021-10-20,
7047,F36463,2021-10-20 00:00:00,2021-10-20,
7048,F36464,2021-10-21 00:00:00,2021-10-21,
7049,F36465,2021-10-21 00:00:00,2021-10-21,
7050,F36466,2021-10-21 00:00:00,2021-10-21,
7051,F36467,2021-10-21 00:00:00,2021-10-21,
7052,F36468,2021-10-21 00:00:00,2021-11-05,
7053,F36469,2021-10-20 00:00:00,2021-11-05,
7054,F36470,2021-10-20 00:00:00,2021-11-20,
7055,F36471,2021-10-18 00:00:00,2021-10-21,
7056,F36472,2021-10-21 00:00:00,2021-10-21,
7057,F36473,2021-10-20 00:00:00,2021-10-21,
7058,F36474,2021-10-21 00:00:00,2021-10-21,
7059,F36475,2021-10-18 00:00:00,2021-10-21,
7060,F36476,2021-10-21 00:00:00,2021-11-20,
7061,F36477,2021-10-21 00:00:00,2021-11-06,
7062,F36478,2021-10-22 00:00:00,2021-10-22,
7063,F36479,2021-10-22 00:00:00,2021-11-21,
7064,F36480,2021-10-21 00:00:00,2021-10-22,
7065,F36481,2021-10-22 00:00:00,2021-10-22,
7066,F36482,2021-10-22 00:00:00,2021-10-22,
7067,F36483,2021-10-06 00:00:00,2021-10-22,
7068,F36484,2021-10-22 00:00:00,2021-10-22,
7069,F36485,2021-10-22 00:00:00,2021-10-22,
7070,F36486,2021-10-21 00:00:00,2021-10-22,
7071,F36487,2021-10-21 00:00:00,2021-10-22,
7072,F36488,2021-10-22 00:00:00,2021-10-22,
7073,F36489,2021-10-20 00:00:00,2021-10-25,
7074,F36490,2021-10-25 00:00:00,2021-12-09,
7075,F36491,2021-10-25 00:00:00,2021-10-25,
7076,F36492,2021-10-25 00:00:00,2021-12-24,
7077,F36493,2021-10-13 00:00:00,2021-10-25,
7078,F36494,2021-10-25 00:00:00,2021-10-25,
7079,F36495,2021-10-25 00:00:00,2021-10-25,
7080,F36496,2021-10-26 00:00:00,2021-10-26,
7081,F36497,2021-10-20 00:00:00,2021-11-03,
7082,F36498,2021-10-25 00:00:00,2021-11-25,
7083,F36499,2021-10-26 00:00:00,2021-10-26,
7084,F36500,2021-10-26 00:00:00,2021-10-26,
7085,F36501,2021-10-26 00:00:00,2021-10-26,
7086,F36502,2021-10-26 00:00:00,2021-10-26,
7087,F36503,2021-10-26 00:00:00,2021-10-26,
7088,F36504,2021-10-26 00:00:00,2021-10-27,
7089,F36505,2021-10-27 00:00:00,2021-10-27,
7090,F36506,2021-10-27 00:00:00,2021-10-27,
7091,F36507,2021-10-27 00:00:00,2021-10-27,
7092,F36508,2021-10-27 00:00:00,2021-10-27,
7093,F36509,2021-10-27 00:00:00,2021-10-27,
7094,F36510,2021-10-21 00:00:00,2021-11-11,
7095,F36511,2021-10-27 00:00:00,2021-11-11,
7096,F36512,2021-10-27 00:00:00,2021-10-27,
7097,F36513,2021-10-27 00:00:00,2021-10-27,
7098,F36514,2021-10-27 00:00:00,2021-10-27,
7099,F36515,2021-10-26 00:00:00,2021-10-27,
7100,F36516,2021-09-30 00:00:00,2021-12-26,
7101,F36517,2021-10-27 00:00:00,2021-11-11,
7102,F36518,2021-09-08 00:00:00,2021-10-27,
7103,F36519,2021-10-27 00:00:00,2021-10-27,
7104,F36520,2021-10-27 00:00:00,2021-10-27,
7105,F36521,2021-10-28 00:00:00,2021-11-27,
7106,F36522,2021-10-28 00:00:00,2021-11-12,
7107,F36523,2021-10-28 00:00:00,2021-10-28,
7108,F36524,2021-10-28 00:00:00,2021-10-28,
7109,F36525,2021-10-26 00:00:00,2021-10-28,
7110,F36526,2021-10-28 00:00:00,2021-10-28,
7111,F36527,2021-10-28 00:00:00,2021-11-12,
7112,F36528,2021-10-28 00:00:00,2021-10-28,
7113,F36529,2021-10-28 00:00:00,2021-11-05,
7114,F36530,2021-10-28 00:00:00,2021-11-05,
7115,F36531,2021-10-08 00:00:00,2021-10-28,
7116,F36532,2021-10-28 00:00:00,2021-10-28,
7117,F36533,2021-10-29 00:00:00,2021-10-29,
7118,F36534,2021-10-29 00:00:00,2021-10-29,
7119,F36535,2021-10-27 00:00:00,2021-10-29,
7120,F36536,2021-10-29 00:00:00,2021-10-29,
7121,F36537,2021-10-25 00:00:00,2021-10-29,
7122,F36538,2021-10-08 00:00:00,2021-10-29,
7123,F36539,2021-10-15 00:00:00,2021-10-29,
7124,F36540,2021-10-21 00:00:00,2021-10-29,
7125,F36541,2021-10-26 00:00:00,2021-10-29,
7126,F36542,2021-10-26 00:00:00,2021-10-29,
7127,F36543,2021-11-03 00:00:00,2021-10-29,
7128,F36544,2021-11-05 00:00:00,2021-10-29,
7129,F36545,2021-11-03 00:00:00,2021-10-29,
7130,F36546,2021-10-22 00:00:00,2021-10-29,
7131,F36547,2021-10-27 00:00:00,2021-10-29,
7132,F36548,2021-11-05 00:00:00,2021-10-29,
7133,F36549,2021-10-29 00:00:00,2021-10-29,2021-10-29
7134,F36550,2021-10-29 00:00:00,2021-10-29,
7135,F36551,2021-10-29 00:00:00,2021-12-13,
7136,F36552,2021-10-29 00:00:00,2021-10-29,
7137,F36553,2021-10-29 00:00:00,2021-10-29,
7138,F36554,2021-10-29 00:00:00,2021-10-29,
7139,F36555,2021-10-29 00:00:00,2021-10-29,
7140,F36556,2021-10-15 00:00:00,2021-10-29,
7141,F36557,2021-10-22 00:00:00,2021-10-29,
7142,F36558,2021-10-29 00:00:00,2021-11-13,
7143,F36559,2021-10-29 00:00:00,2021-10-29,
7144,F36560,2021-10-29 00:00:00,2021-10-29,2021-11-02
7145,F36561,2021-11-03 00:00:00,2021-11-03,
7146,F36562,2021-11-03 00:00:00,2021-11-03,
7147,F36563,2021-11-02 00:00:00,2021-11-03,
7148,F36564,2021-11-02 00:00:00,2021-11-03,
7149,F36565,2021-11-02 00:00:00,2021-11-03,
7150,F36566,2021-11-03 00:00:00,2021-11-03,
7151,F36567,2021-11-02 00:00:00,2021-11-03,
7152,F36568,2021-11-02 00:00:00,2021-11-03,2021-11-03
7153,F36569,2021-11-03 00:00:00,2021-11-03,
7154,F36570,2021-11-02 00:00:00,2021-11-03,
7155,F36571,2021-11-03 00:00:00,2021-11-03,
7156,F36572,2021-11-01 00:00:00,2021-11-03,
7157,F36573,2021-11-03 00:00:00,2021-11-03,
7158,F36574,2021-11-03 00:00:00,2021-11-03,
7159,F36575,2021-11-03 00:00:00,2021-11-04,
7160,F36576,2021-11-04 00:00:00,2021-12-04,
7161,F36577,2021-11-02 00:00:00,2021-11-04,2021-11-04
7162,F36578,2021-11-03 00:00:00,2021-11-04,
7163,F36579,2021-11-04 00:00:00,2021-11-04,
7164,F36580,2021-11-03 00:00:00,2021-12-04,
7165,F36581,2021-11-04 00:00:00,2021-12-04,
7166,F36582,2021-10-29 00:00:00,2021-11-19,
7167,F36583,2021-10-29 00:00:00,2021-11-19,
7168,F36584,2021-10-29 00:00:00,2022-01-03,
7169,F36585,2021-10-29 00:00:00,2022-01-03,
7170,F36586,2021-11-04 00:00:00,2021-11-04,
7171,F36587,2021-11-04 00:00:00,2021-11-04,
7172,F36588,2021-11-04 00:00:00,2021-11-04,
7173,F36589,2021-10-29 00:00:00,2022-01-03,
7174,F36590,2021-11-04 00:00:00,2021-11-04,
7175,F36591,2021-10-21 00:00:00,2021-11-04,
7176,F36592,2021-11-04 00:00:00,2021-11-05,
7177,F36593,2021-11-02 00:00:00,2021-11-05,
7178,F36594,2021-11-05 00:00:00,2021-11-05,
7179,F36595,2021-11-05 00:00:00,2021-11-05,
7180,F36596,2021-10-28 00:00:00,2021-11-05,
7181,F36597,2021-10-28 00:00:00,2021-11-05,
7182,F36598,2021-11-05 00:00:00,2021-11-05,
7183,F36599,2021-11-05 00:00:00,2021-11-05,
7184,F36600,2021-11-05 00:00:00,2021-11-05,
7185,F36601,2021-11-05 00:00:00,2021-11-05,
7186,F36602,2021-11-05 00:00:00,2021-11-05,
7187,F36603,2021-11-05 00:00:00,2021-11-05,
7188,F36604,2021-11-05 00:00:00,2021-11-05,
7189,F36605,2021-11-08 00:00:00,2021-11-08,
7190,F36606,2021-11-08 00:00:00,2021-11-08,
7191,F36607,2021-11-08 00:00:00,2021-11-08,
7192,F36608,2021-11-03 00:00:00,2021-11-08,
7193,F36609,2021-11-08 00:00:00,2021-12-08,
7194,F36610,2021-11-08 00:00:00,2021-11-08,
7195,F36611,2021-11-08 00:00:00,2021-11-08,
7196,F36612,2021-11-04 00:00:00,2021-11-08,
7197,F36613,2021-11-08 00:00:00,2021-11-08,
7198,F36614,2021-11-05 00:00:00,2021-11-23,
7199,F36615,2021-10-29 00:00:00,2022-01-08,
7200,F36616,2021-10-29 00:00:00,2021-12-09,
7201,F36617,2021-11-09 00:00:00,2021-12-09,
7202,F36618,2021-10-29 00:00:00,2021-12-09,
7203,F36619,2021-11-05 00:00:00,2021-11-09,
7204,F36620,2021-07-30 00:00:00,2021-11-09,
7205,F36621,2021-11-09 00:00:00,2021-11-24,
7206,F36622,2021-11-09 00:00:00,2021-11-24,
7207,F36623,2021-11-09 00:00:00,2021-11-09,
7208,F36624,2021-11-09 00:00:00,2021-11-09,
